algorithm,feature_set,training_condition,feature,term,coefficient,odds_ratio,unit
logistic_regression,clinical,real_only,age,age,-0.06341385464068529,0.9385549679731977,one_training_standard_deviation
logistic_regression,clinical,real_only,education_years,education_years,-0.505545919808289,0.603176199693551,one_training_standard_deviation
logistic_regression,clinical,real_only,ses,ses,-0.7196929310036521,0.48690174543729664,one_training_standard_deviation
logistic_regression,clinical,real_only,mmse,mmse,-2.551170141431581,0.07799035284379173,one_training_standard_deviation
logistic_regression,clinical,real_only,sex,sex_male_vs_female,0.8724343280347782,2.3927284556345807,male_vs_female
logistic_regression,clinical_imaging,real_only,age,age,-0.5816804522440775,0.5589582742102346,one_training_standard_deviation
logistic_regression,clinical_imaging,real_only,education_years,education_years,-0.8685125649143102,0.419575176168496,one_training_standard_deviation
logistic_regression,clinical_imaging,real_only,ses,ses,-1.1880668575699258,0.3048099359103372,one_training_standard_deviation
logistic_regression,clinical_imaging,real_only,mmse,mmse,-4.092842676853047,0.01669171689606201,one_training_standard_deviation
logistic_regression,clinical_imaging,real_only,etiv,etiv,-1.2301240221032574,0.2922563291884625,one_training_standard_deviation
logistic_regression,clinical_imaging,real_only,nwbv,nwbv,-0.8706826631244948,0.4186656440735807,one_training_standard_deviation
logistic_regression,clinical_imaging,real_only,asf,asf,-0.6549648637365126,0.5194603141608698,one_training_standard_deviation
logistic_regression,clinical_imaging,real_only,sex,sex_male_vs_female,1.6204834930829422,5.055534041493853,male_vs_female
